siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
006112585,00010,00611258500010,O,,,,,,true,1,,,,,,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.43,NAP,N
006112619,00025,00611261900025,O,,NN,,,,true,1,,8,,RUE,DESGARDINS,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,62.44,NAP,N
006112643,00017,00611264300017,O,,NN,,,,true,1,,5,,RUE,H ESTIENNE D ORVES,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1994-05-31,F,,,,,52.3A,NAF1993,O
006112668,00014,00611266800014,O,,NN,,,2019-11-14T14:01:00,true,1,,49,,RUE,DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,1979-12-25,F,,,,,70.2C,NAF1993,N
006120026,00015,00612002600015,O,,,,,,true,1,,,,RUE,ALFRED FRANCOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N
006120034,00019,00612003400019,O,,,,,,true,1,,,,RUE,DU MOULIN QUIGNON,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.05,NAP,N
006120042,00012,00612004200012,O,1900-01-01,NN,,,,false,4,,14,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1998-11-23,F,,,,,52.4R,NAF1993,O
006120042,00020,00612004200020,O,1992-11-01,NN,,,,false,4,,63,,BD,VOLTAIRE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1999-07-31,F,,,,,52.4R,NAF1993,O
006120042,00038,00612004200038,O,1999-07-31,NN,,,2019-11-14T14:01:01,true,5,ZONE INDUSTRIELLE,,,RTE,RD 153,80132,VAUCHELLES-LES-QUESNOY,,,80779,,,,,,,,,,,,,,,,,,,2017-07-17,F,,,,,47.62Z,NAFRev2,N
006120109,00027,00612010900027,O,1900-01-01,NN,,,2014-06-13T23:02:11,false,5,37,39,,RUE,DES 3 CAILLOUX,80000,AMIENS,,,80021,,,,,,,,,,,,,,,,,,,2012-04-01,F,,,,,47.71Z,NAFRev2,O
006120109,00050,00612010900050,O,2012-04-01,,,,2014-06-13T23:02:11,true,1,,49,,RUE,LOUIS THUILLIER,80000,AMIENS,,,80021,,,,,,,,,,,,,,,,,,,2012-04-01,A,,,,,64.20Z,NAFRev2,O
006120117,00012,00612011700012,O,1961-01-01,NN,,,,true,4,,130,,RTE,DE DOULLENS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,51.3N,NAF1993,O
006120141,00012,00612014100012,O,,,,,,true,1,,,,RTE,DE RUE,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N
006140016,00012,00614001600012,O,,NN,,,,true,1,,,,HAM,L'HOTE,04160,L'ESCALE,,,04079,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,81.21,NAP,N
006140024,00024,00614002400024,O,,NN,,,,true,1,,,,QUAI,SUPER SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,1999-12-31,F,,,,,52.4W,NAF1993,N
006140032,00019,00614003200019,O,1900-01-01,NN,,,2008-01-04T17:54:18,false,3,,,,RTE,DE MANOSQUE,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
006140032,00027,00614003200027,O,1900-01-01,NN,,,2019-11-14T14:00:14,false,4,,10,,AV,DES MARRONNIERS,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,1999-03-17,F,,,,,70.2C,NAF1993,N
